ranking,pokemon,votes,region,type,evolution_stage,Body shape,tail
2,Rowlet,52367,Alola,Grass,Base,with wing,1
3,Decidueye,44011,Alola,Grass,Second Evolution,with wing,1
6,Incineroar,29925,Alola,Fire,Second Evolution,with bipedal,1
8,Primarina,25953,Alola,Water,Second Evolution,with fins,1
13,Litten,14005,Alola,Fire,Base,with quadrup,1
28,Popplio,7542,Alola,Water,Base,with fins,1
6,Cinderace,26892,Galar,Fire,Second Evolution,with bipedal,1
10,Inteleon,20697,Galar,Water,Second Evolution,with bipedal,1
12,Scorbunny,20058,Galar,Fire,Base,with bipedal,1
14,Sobble,17155,Galar,Water,Base,with quadrup,1
20,Grookey,13478,Galar,Grass,Base,with bipedal,1
29,Rillaboom,8625,Galar,Grass,Second Evolution,with bipedal,0
4,Sceptile,38724,Hoenn,Grass,Second Evolution,with bipedal,0
5,Blaziken,38307,Hoenn,Fire,Second Evolution,with bipedal,1
6,Mudkip,36920,Hoenn,Water,Base,with quadrup,0
11,Swampert,26540,Hoenn,Water,Second Evolution,with bipedal,1
20,Torchic,12568,Hoenn,Fire,Base,with a head and legs,1
24,Grovyle,10746,Hoenn,Grass,First Evolution,with bipedal,1
26,Treecko,9339,Hoenn,Grass,Base,with bipedal,1
4,Typhlosion,35184,Johto,Fire,Second Evolution,with quadrup,0
8,Cyndaquil,28332,Johto,Fire,Base,with bipedal,0
10,Totodile,22526,Johto,Water,Base,with bipedal,1
14,Chikorita,18521,Johto,Grass,Base,with quadrup,1
16,Feraligatr,18245,Johto,Water,Second Evolution,with bipedal,1
24,Quilava,10032,Johto,Fire,First Evolution,with quadrup,0
1,Greninja,140559,Kalos,Water,Second Evolution,with bipedal,0
14,Fennekin,13508,Kalos,Fire,Base,with quadrup,1
17,Delphox,10889,Kalos,Fire,Second Evolution,with bipedal,1
18,Braixen,10807,Kalos,Fire,First Evolution,with bipedal,1
30,Froakie,6293,Kalos,Water,Base,with quadrup,0
1,Charizard,93968,Kanto,Fire,Second Evolution,with bipedal,1
3,Bulbasaur,56015,Kanto,Grass,Base,with quadrup,0
13,Squirtle,18476,Kanto,Water,Base,with bipedal,1
14,Blastoise,16795,Kanto,Water,Second Evolution,with bipedal,1
17,Charmander,14049,Kanto,Fire,Base,with bipedal,1
28,Venusaur,10454,Kanto,Grass,Second Evolution,with quadrup,0
1,Greninja,140559,Overall,Water,Second Evolution,with bipedal,0
4,Charizard,93968,Overall,Fire,Second Evolution,with bipedal,1
13,Bulbasaur,56015,Overall,Grass,Base,with quadrup,0
16,Rowlet,52367,Overall,Grass,Base,with wing,1
22,Decidueye,44011,Overall,Grass,Second Evolution,with wing,1
28,Sceptile,38724,Overall,Grass,Second Evolution,with bipedal,0
29,Blaziken,38307,Overall,Fire,Second Evolution,with bipedal,1
4,Piplup,34680,Sinnoh,Water,Base,with bipedal,0
5,Infernape,33267,Sinnoh,Fire,Second Evolution,with bipedal,1
9,Empoleon,21773,Sinnoh,Water,Second Evolution,with bipedal,0
12,Torterra,20632,Sinnoh,Grass,Second Evolution,with quadrup,1
21,Turtwig,10865,Sinnoh,Grass,Base,with quadrup,1
6,Serperior,22269,Unova,Grass,Second Evolution,with serpentine,1
7,Oshawott,21990,Unova,Water,Base,with bipedal,1
13,Snivy,17020,Unova,Grass,Base,with bipedal,1
18,Samurott,11444,Unova,Water,Second Evolution,with quadrup,1
